Even,,,,,,,Optimal,,,,,,,,,,
,,,,,,,,,,,,,,Even UAV1,Even UAV2,,Flight_time
12.39,9.83,8.58,10.15,243.5874,174.174,,12.4,10.02,11.48,9.82,248.496,225.4672,,262.4114143,196.3756714,458.7870857,0.1438894738
12.25,10.95,9.54,10.02,268.275,191.1816,,12.34,9.5,11.32,9.79,234.46,221.6456,,0.5719677438,0.4280322562,,
12.38,10.47,9.62,10.06,259.2372,193.5544,,12.51,9.55,12.19,9.7,238.941,236.486,,,,,
12.34,10.65,9.79,10.04,262.842,196.5832,,12.49,8.2,12.22,9.9,204.836,241.956,,,,,
12.39,10.24,10.6,9.94,253.7472,210.728,,12.48,8.5,10.77,9.82,212.16,211.5228,,Optimal UAV1,Optimal UAV2,,
12.4,10.36,9.98,10.03,256.928,200.1988,,12.44,9.4,11.75,9.78,233.872,229.83,,229.4027704,220.6860741,450.0888444,
12.42,9.71,9.15,10.01,241.1964,183.183,,12.39,9.73,12.24,9.69,241.1094,237.2112,,0.5096833063,0.4903166937,,
12.3,11.89,10.74,9.98,292.494,214.3704,,12.46,8.45,11.68,9.8,210.574,228.928,,,,,
12.24,11.6,11.08,9.98,283.968,221.1568,,12.46,8.87,11.5,9.81,221.0404,225.63,,,,,
12.27,10.35,9.04,10,253.989,180.8,,12.36,8.81,11.31,9.79,217.7832,221.4498,,,,,
12.4,9.73,10.2,9.96,241.304,203.184,,12.27,8.96,11.44,9.62,219.8784,220.1056,,,,,
12.33,10.36,9.82,9.98,255.4776,196.0072,,12.38,9.08,12.9,9.53,224.8208,245.874,,,,,
12.33,10.5,9.86,10.01,258.93,197.3972,,12.38,9.6,12.7,9.56,237.696,242.824,,,,,
11.9,12.68,9.19,10.16,301.784,186.7408,,12.31,8.89,11.48,9.68,218.8718,222.2528,,,,,
12.46,8.96,10.82,9.88,223.2832,213.8032,,12.4,10.31,12.84,9.61,255.688,246.7848,,,,,
12.3,10.54,9.99,9.94,259.284,198.6012,,12.4,9.19,11.88,9.7,227.912,230.472,,,,,
12.36,10.14,10.36,9.92,250.6608,205.5424,,12.38,9.23,12.62,9.65,228.5348,243.566,,,,,
12.29,10.56,9.85,9.94,259.5648,195.818,,12.37,9.86,13.44,9.61,243.9364,258.3168,,,,,
12.28,11.3,10.38,9.94,277.528,206.3544,,12.36,9.42,12.44,9.64,232.8624,239.8432,,,,,
12.28,11.28,10.71,9.94,277.0368,212.9148,,12.41,9.2,11.53,9.65,228.344,222.529,,,,,
12.29,11.41,11.11,9.87,280.4578,219.3114,,12.37,9.53,12.11,9.68,235.7722,234.4496,,,,,
12.24,11.49,10.45,9.89,281.2752,206.701,,12.4,9.58,12.8,9.58,237.584,245.248,,,,,
12.26,11.81,10.65,9.88,289.5812,210.444,,12.33,9.89,12.03,9.65,243.8874,232.179,,,,,
12.28,11.19,10.7,9.9,274.8264,211.86,,12.35,9.24,11.35,9.69,228.228,219.963,,,,,
12.29,11.02,10.3,9.9,270.8716,203.94,,12.33,9.61,12.19,9.58,236.9826,233.5604,,,,,
12.27,10.94,10.68,9.9,268.4676,211.464,,12.36,10.25,12.34,9.6,253.38,236.928,,,,,
12.25,11.5,10.65,9.86,281.75,210.018,,12.4,9.51,12.97,9.48,235.848,245.9112,,,,,
12.19,11.14,10.02,9.86,271.5932,197.5944,,12.34,9.49,11.97,9.61,234.2132,230.0634,,,,,
12.17,11.96,10.86,9.85,291.1064,213.942,,12.34,9.57,12.33,9.6,236.1876,236.736,,,,,
12.24,11.4,10.85,9.84,279.072,213.528,,12.33,9.18,12.28,9.54,226.3788,234.3024,,,,,
12.25,11.5,10.65,9.86,281.75,210.018,,12.27,10.08,12.28,9.61,247.3632,236.0216,,,,,
12.19,11.14,10.02,9.86,271.5932,197.5944,,12.33,10.56,12.77,9.54,260.4096,243.6516,,,,,
12.17,11.96,10.86,9.85,291.1064,213.942,,12.29,10.17,12.57,9.59,249.9786,241.0926,,,,,
12.23,11.28,10.78,9.86,275.9088,212.5816,,12.36,9.18,11.08,9.62,226.9296,213.1792,,,,,
12.25,11.48,10.89,9.8,281.26,213.444,,12.24,10.15,12.56,9.57,248.472,240.3984,,,,,
12.23,11.42,10.76,9.85,279.3332,211.972,,12.32,9.62,12.02,9.57,237.0368,230.0628,,,,,
12.12,12.28,10.62,9.88,297.6672,209.8512,,12.32,9.88,12.34,9.57,243.4432,236.1876,,,,,
12.17,11.85,11.28,9.82,288.429,221.5392,,12.32,9.61,11.53,9.57,236.7904,220.6842,,,,,
12.21,11.55,11.1,9.84,282.051,218.448,,12.33,9.73,12.03,9.57,239.9418,230.2542,,,,,
12.21,11.49,10.99,9.83,280.5858,216.0634,,12.26,10.07,12.65,9.54,246.9164,241.362,,,,,
12.17,11.84,11.05,9.82,288.1856,217.022,,12.18,9.71,11.3,9.61,236.5356,217.186,,,,,
12.19,11.71,10.59,9.82,285.4898,207.9876,,12.32,9.9,12.57,9.52,243.936,239.3328,,,,,
